Organization,Launcher,First Launch,Status,Launches,Cost [$M],Performance [kgs]
Lockheed Martin,Athena-2,1998,Retired,3,65,1165
Northrop Grumman,Pegasus (XL),1990,Operational,45,56,443
Northrop Grumman,Minotaur C (Taurus-XL),1994,Operational,12,50,1054
KARI,Nuri (KSLV-2),2021,Operational,3,30,1500
IHI,Epsilon S,2024,Development,0,25,600
Lockheed Martin,Athena-1,1995,Retired,4,17,794
Firefly,Alpha,2021,Operational,4,15,630
Virgin Orbit,LauncherOne,2020,Retired,6,12,300
ABL,RS1,2023,Operational,1,12,1000
Relativity,Terran 1,2023,Retired,1,12,900
Earth to Sky,?,2021,Dormant,0,12,850
SpaceX,Falcon 1 / Falcon 1e,2006,Retired,5,11,1000
ExPace / CASIC,Kuaizhou-11 (KZ-11),2020,Operational,3,10,1000
Isar Aerospace,Spectrum,2024,Development,0,10,700
Skyrora,Skyrora XL,2024,Development,0,10,315
Swiss Space Systems,SOAR,2018,Cancelled,0,10,250
New Rocket Technologies,?,?,Dormant,0,9,500
Aevum,Ravn X,2024,Development,0,8,150
Eclipse Orbital,The Corona,2020,Dormant,0,7.7,1100
Rocket Lab,Electron,2017,Operational,48,7.5,200
Reaction Dynamics,Aurora,2024,Development,0,7.5,150
Gilmour Space,Eris,2024,Development,0,7,215
PyraLink,P1,2032,Development,0,7,1345
Black Arrow,Black Arrow 2,2024,Development,0,6.3,500
ExPace / CASIC,Kuaizhou-1A (Fei Tian 1),2017,Operational,26,6,300
China Rocket,Smart Dragon-1 (SD-1 Jielong-1),2019,Operational,1,6,150
Vaya Space,Dauntless,2024,Development,0,5.4,600
Interstellar Technologies,Zero,2025,Development,0,5.2,250
i-Space,Hyperbola-1 (Shuang Quxian),2019,Operational,6,5,300
Astra,Rocket 4,2024,Development,0,5,500
OrbitX,Haribon SLS-1,2024,Development,0,5,200
bluShift Aerospace,Red Dwarf,?,Development,0,5,100
One Space,OS-M,2019,Operational,1,4.7,112
Galactic Energy,Ceres-1,2020,Operational,13,4.5,300
Link Space,New Line 1,2024,Development,0,4.5,200
Equatorial Space Systems,Volans,2026,Development,0,4.5,150
Independence-X,DNLV,2021,Concept,0,4.5,200
Pangea Aerospace,Meso,2025,Cancelled,0,4.4,400
ISRO,SSLV,2022,Operational,2,4.2,500
HyImpulse,SL1,2025,Development,0,4.1,600
Phantom Space,Daytona I,2024,Development,0,4,53
Zero 2 Infinity,Bloostar,?,Development,0,4,75
Rocket Factory,RFA One,2024,Development,0,3.6,1300
Scorpius Space Launch,Demi-Sprite,?,Concept,0,3.6,160
JAXA,SS-520-4,2017,Retired,2,3.5,4
Perigee,Blue Whale 1,2024,Development,0,3,150
SR Space,Cosmos,2025,Development,0,3,310
Generation Orbit,GoLauncher 2,2016,Cancelled,0,3,40
Sirius Space Services,SIRIUS 1,2025,Development,0,2.625,175
Latitude,Zephyr,2025,Development,0,2.52,80
Astra,Rocket 3,2020,Retired,7,2.5,150
Laros,PH2 / RN2,2024,Development,0,2.5,200
Bellatrix Aerospace,Chetak,2024,Development,0,2,150
Vogue Aerospace,US1-LALV,?,Development,0,2,500
VALT Enterprises,VALT,?,Dormant,0,1.7,25
Vector Launch,Vector-R,2024,Development,0,1.5,200
Interorbital Systems,NEPTUNE,2024,Development,0,1.35,225
Space Mission Architects,SMA-2,2023,Dormant?,0,1.3,932
Pythom,Eiger (Pythom),2024,Development,0,1.2,150
ARCA Space,EcoRocket (Haas 2CA),2024,Development,0,1,10
Gloyer-Taylor (GTL),ACE,?,Development,0,1,70
UP Aerospace,Spyder Orbital,?,Development,0,1,10
Masterra Space,MINSAT-2000,2021,Concept,0,1,20
Beyond Earth,?,?,Dormant,0,1,30
Eldorado,?,?,Dormant,0,1,12
United Frontiers,Discovery 2,2021,Dormant,0,1,500
Smallspark,Frost 1,2023,Cancelled,0,1,75
Space Transport Corporation,N-SOLV,?,Cancelled,0,1,10
Aphelion,Helios,?,Concept,0,0.95,100
Space Orca,?,?,Concept,0,0.7,500
Acrux,Montenegro,2024,Development,0,0.6,40
Aphelion Orbitals,Helios / Feynman,2019,Cancelled,0,0.55,14
Space Engine Systems,HELLO-1,2025,Development,0,0.52,550
TLON Space,Aventura I,2023,Operational,0,0.5,25
SpinLaunch,?,2026,Development,0,0.5,200
Lin Industrial,Taymyr-1A,2025,Dormant?,0,0.5,12
Stoke,Nova,2026,Development,0,0.4215,1500
Voyager Mayeen,Mayeen I,2027,Development,0,0.4,200
Space Frontier,Night Driver One,?,Dormant?,0,0.4,50
Pipeline2Space,?,2025,Development,0,0.25,50
Cubecab,Cab-3A,2022,Concept,0,0.25,5
Bagaveev,Bagaveev,?,Dormant,0,0.25,10
Promin,Zaarbird,2024,Development,0,0.2,0.1
Celestia Aerospace,Space Arrow CM,?,Development,0,0.2,16
Sidereus Space Dynamics,EOS SmallLauncher,2024,Development,0,0.15,10
Space Ops,Rocky 1,2022,Dormant,0,0.1,5
SpaceDarts,S / One,?,Development,0,0.04,10
